mID,nsites,formula,pointGroup,spaceGroup,volume,a,b,c,alpha,beta,gamma,eij
mp-4175,8,ZnSnP2,-42m,122,186.23935144823037,5.70658741,5.70658740,6.99923503,114.05779464,114.05779461,90.00000003,0.047237
mp-19052,8,K3VO4,-42m,121,165.1323394061533,6.17650821,6.17650822,6.17650821,89.00185845,120.57794074,120.57794084,0.228486
mp-12532,8,KAg2PS4,-42m,121,188.36112165441153,6.35157218,6.35157217,6.35157217,95.13317030,117.08195645,117.08195644,0.072507
mp-19414,8,K3CrO4,-42m,121,160.79606639104503,6.07623032,6.07623032,6.07623032,91.62220531,119.06788071,119.06788082,1.21272
mp-6408,8,ZnCu2GeS4,-42m,121,152.32199133358782,5.33374907,5.33374907,6.54921939,114.02937442,114.02937444,89.99999996,0.021256
mp-12904,8,HoAgTe2,-42m,113,237.8953197960839,4.72184985,7.09801418,7.09801418,90.00000000,90.00000000,90.00000000,0.175924
mp-8016,8,AlCuSe2,-42m,122,177.3921184288757,5.64267573,5.64267573,6.85276317,114.31217796,114.31217793,90.00000001,0.024283
mp-7394,8,BaAg2GeS4,-42m,121,195.4673613941511,6.38553882,6.38553882,6.38553883,98.91010415,114.99617110,114.99617103,0.029197
mp-7548,8,BaSe3,-42m,113,236.7139078508787,4.29856263,7.42079199,7.42079199,90.00000000,90.00000000,90.00000000,0.124958
mp-3078,8,CdSiAs2,-42m,122,198.73230569446343,5.98314249,5.98314248,6.97983304,115.37887990,115.37887988,89.99999995,0.008008
mp-12015,8,KAg2AsO4,-42m,121,130.0800192325506,5.57101001,5.57101001,5.57101001,99.37156348,114.74508625,114.74508618,0.032865
mp-34903,8,MgGeP2,-42m,122,180.33417229043732,8.18744484,10.61792294,6.76100235,29.52036667,52.73262294,39.54632943,0.081795
mp-9490,8,KAg2SbS4,-42m,121,213.80074387320226,6.66930408,6.66930408,6.66930407,92.32654051,118.66598559,118.66598559,0.117779
mp-19140,8,K3MnO4,-42m,121,154.03419240287363,5.85625766,5.85625765,5.85625765,105.41364684,111.53731673,111.53731673,0.259998
mp-34293,8,CsTaN2,-42m,122,175.52844893071807,6.29214015,6.27012682,6.29213977,60.11566560,59.76868228,60.11566206,0.091389
mp-639402,8,K3VO4,-42m,121,168.41109249271804,6.58916903,6.58916903,6.58916903,75.07007129,128.96302754,128.96302750,0.247722
mp-760415,8,Li3SbS4,-42m,121,178.716932459151,5.66857439,5.66857439,6.85568059,65.58004133,65.58004133,90.00000000,0.084235
mp-764673,8,Na3VO4,-42m,121,123.92909659108881,5.98183271,5.98183271,5.98183271,129.59763755,129.59763755,74.05083150,0.275958
mp-10074,6,GeSe2,-42m,122,177.82369795336416,6.07063307,6.07063307,6.45829149,118.03348778,118.03348777,90.00000002,0.039997
mp-23353,7,Cu2HgI4,-42m,121,242.3378204483848,6.20582977,6.20582977,7.67066135,113.89090836,113.89090836,89.82619801,0.07233
mp-35777,7,Mg(InTe2)2,-42m,121,255.61791495439735,6.33927993,6.33927993,7.79020897,114.09760546,114.09760546,89.98343719,0.080219
mp-19722,8,MnCu2SnS4,-42m,121,164.74154939415337,5.51139607,5.51139608,6.67848264,114.36973788,114.36973788,90.00000002,0.126842
mp-568968,8,K2SnHgSe4,-42m,121,242.20794614485413,6.83149602,6.83149703,6.83149692,105.84137613,105.84137851,117.00381568,0.086098
mp-638590,8,MnTl2GeTe4,-42m,121,259.247761203658,7.02265053,7.02264957,7.02265021,104.30758845,104.30758605,120.38084125,0.254055
mp-20782,8,LiInTe2,-42m,122,272.94135989775924,6.54122527,6.54122527,7.87941501,114.52455479,114.52455476,90.00000000,0.012182
mp-5048,8,LiGaTe2,-42m,122,246.59890795426145,6.40846136,6.40846137,7.52258805,115.21067798,115.21067798,89.99999996,0.014911
mp-22261,8,InCuTe2,-42m,122,249.1222387195102,6.28833691,6.28833691,7.71113828,114.06317947,114.06317945,89.99999997,0.015662
mp-19833,8,InAgS2,-42m,122,202.5327958516508,5.92941188,5.92941188,7.12489630,114.58893148,114.58893145,89.99999995,0.145808
mp-14092,8,AlAgTe2,-42m,122,252.15506729920435,6.41854077,6.41854077,7.61976154,114.90893604,114.90893597,89.99999996,0.024847
mp-8017,8,AlCuTe2,-42m,122,223.84968956630297,6.08464985,6.08464984,7.42081455,114.20306516,114.20306512,90.00000002,0.01918
mp-3839,8,GaCuTe2,-42m,122,225.1419253512003,6.08705992,6.08705992,7.44633557,114.12498947,114.12498941,90.00000001,0.076711
mp-5518,8,GaAgSe2,-42m,122,206.93765072338266,6.05996398,6.05996398,7.07923812,115.34131161,115.34131158,90.00000002,0.057571
mp-5213,8,CdSnP2,-42m,122,210.01533538363776,5.98535133,5.98535133,7.23044659,114.45000957,114.45000961,90.00000000,0.008214
mp-4899,8,GaAgTe2,-42m,122,253.89963181557786,6.41359010,6.41359010,7.65941086,114.75089044,114.75089051,90.00000007,0.021289
mp-29091,9,Ti(CuS)4,-42m,121,157.14993681615343,5.44246982,5.44246982,6.55423749,114.53110015,114.53110020,89.99999999,0.075421
mp-559146,9,La2MoO6,-42m,121,151.9758293785696,4.31710121,4.31708203,8.70610480,104.33960154,104.33953605,90.02098320,0.439262
mp-867699,9,Li4TiS4,-42m,121,189.56988420316213,5.86897769,6.89287522,5.86897769,64.80325374,90.00000000,115.19674626,0.002887
mp-615152,12,MnF2,-42m,111,146.87398364384202,5.28400346,5.28398888,5.26041356,90.00495290,90.00172318,90.00016218,0.374775
mp-28020,12,AlCuCl4,-42m,112,311.2752334432311,5.55590208,5.55590208,10.08405955,90.00000000,90.00000000,90.00000000,0.029707
mp-29362,12,GaCuCl4,-42m,112,313.6285260163075,5.51591743,5.51591743,10.30813373,90.00000000,90.00000000,90.00000000,0.022218
mp-27888,12,Zr3GeO8,-42m,121,136.8724520618851,5.07385665,5.07385115,6.41483726,113.30618384,113.30612808,90.00126467,1.120883
mp-18876,12,K3CrO8,-42m,121,181.95659767522864,6.20976466,6.20976467,6.20976467,101.88792334,113.39083192,113.39083203,0.210325
mp-4690,12,K3TaO8,-42m,121,192.42011836371898,6.33497400,6.33497400,6.33497400,100.79843278,113.97404572,113.97404577,0.325681
mp-9808,12,Rb3NbO8,-42m,121,214.3585435533529,6.55767838,6.55767838,6.55767838,101.98867023,113.33714600,113.33714601,0.143989
mp-5461,12,Rb3TaO8,-42m,121,213.84475389524394,6.55509567,6.55509566,6.55509566,101.63466730,113.52597071,113.52597070,0.140254
mp-14175,12,K3NbO8,-42m,121,192.96121914004772,6.33835400,6.33835400,6.33835400,101.11460816,113.80429763,113.80429762,0.394117
mp-561942,12,Cs3TaO8,-42m,121,241.45394960342546,6.81624708,6.81624761,6.81624726,102.94488576,112.82969062,112.82968241,0.058268
mp-42264,13,K2MnH4(Cl2O)2,-42m,121,231.03677338365557,6.71590523,6.71590496,6.71590513,103.07885290,112.75889013,112.75889077,0.013508
mp-3589,6,BPO4,-4,82,66.19699425034973,4.44199463,4.44199463,4.59577509,118.89914811,118.89914823,89.99999996,0.155476
mp-5046,6,BeSO4,-4,82,72.62871994373212,4.55788290,4.55788341,4.75497240,118.63809264,118.63809612,89.99999558,0.042097
mp-3277,6,BAsO4,-4,82,72.32301016983023,4.58570922,4.58570922,4.72681605,119.01730747,119.01730740,90.00000005,0.214414
mp-7849,6,AlAsO4,-4,82,101.94367399780528,5.28298046,5.28298046,5.28298045,87.57856837,121.40772347,121.40772362,0.108117
mp-7848,6,AlPO4,-4,82,96.28050568439716,5.17722413,5.17722414,5.17722414,87.93822639,121.19741963,121.19741958,0.157919
mp-778780,6,VBO4,-4,82,87.51540565553073,4.88200385,5.03980861,4.88200385,61.03048020,90.00000000,118.96950667,0.01926
mp-8873,7,LiGeBO4,-4,82,72.72800154201934,4.56149343,4.56149343,4.75614414,118.65516189,118.65516200,90.00000002,0.186009
mp-8874,7,LiSiBO4,-4,82,68.41001071478529,4.45434753,4.45434753,4.66995131,118.48416384,118.48416380,89.99999999,0.150988
mp-677335,6,GaPO4,-4,82,95.41506473550197,5.15126948,5.15126898,5.08672407,60.41362069,60.41362386,59.17274742,0.150166
mp-764338,6,FePO4,-4,82,101.98055384416222,5.10349417,5.32480979,5.10349517,61.36563166,90.00000004,61.36562988,0.150473
mp-761486,7,LiFePO4,-4,82,89.21893728719894,4.93284986,5.06066381,4.93284986,60.83200896,90.00000000,119.16797872,0.189043
mp-762018,7,LiCoPO4,-4,82,86.5345069937025,4.82359423,5.04637227,4.82359423,61.44990085,90.00000000,118.55009915,0.138035
mp-763098,7,Li2MnF4,-4,82,98.56009868744188,4.74372936,5.51677072,4.74372936,64.53642256,90.00000000,115.46357744,0.234528
mp-765875,7,LiMnPO4,-4,82,91.92942054936653,4.93514774,5.14046147,4.93514774,61.31266855,90.00000000,118.68733145,0.22199
mp-767069,7,LiVSiO4,-4,82,91.00748197812489,4.82908341,5.18554378,4.82908341,62.24903590,90.00000000,117.75096423,0.219852
mp-753654,7,LiSnPO4,-4,82,106.56414046261486,5.26558258,5.26558258,5.35117589,60.52772247,60.52772235,90.00000000,0.242328
mp-770986,7,LiVBO4,-4,82,77.78025631631476,4.59019926,4.91552148,4.59019926,62.16618165,90.00000000,117.83381835,0.236009
mp-762631,7,LiFeSiO4,-4,82,88.69318613027161,4.54146872,5.36702441,4.54146872,64.97017953,90.00000000,115.02983237,0.184843
mp-762221,7,LiCoSiO4,-4,82,85.82656263902656,4.48464790,5.31666020,4.48464790,65.05461670,90.00000000,114.94539518,0.150095
mp-20790,6,InPS4,-4,82,154.39681225198063,5.77212914,5.77212914,6.17524933,117.86306489,117.86306493,89.99999996,0.068301
mp-22304,7,Cd(InSe2)2,-4,82,212.0157310906325,5.99090026,5.99090026,7.26916870,114.33531423,114.33531429,89.99999995,0.086248
mp-20025,7,Mn(GaS2)2,-4,82,158.36672440515375,5.51805835,5.51805834,6.50195709,115.10878476,115.10878479,89.99999999,0.048602
mp-3772,7,Cd(GaSe2)2,-4,82,189.71856031782937,5.87532228,5.87532228,6.88953419,115.23897795,115.23897785,90.00000001,0.049385
mp-4452,7,Cd(GaS2)2,-4,82,165.25279335091963,5.64579039,5.64579039,6.54336135,115.55730532,115.55730534,90.00000001,0.088818
mp-3038,7,Al2HgSe4,-4,82,188.88544914803688,5.88064262,5.88064262,6.86469538,115.36131341,115.36131345,89.99999999,0.113456
mp-20261,7,Mn(GaSe2)2,-4,82,179.24583416873776,5.71620018,5.71620018,6.81400587,114.79954742,114.79954736,89.99999997,0.031036
mp-5350,7,Zn(GaS2)2,-4,82,151.24368553877423,5.37271241,5.37423267,6.47379930,114.56837303,114.53419582,90.00773440,0.043856
mp-5928,7,Al2CdS4,-4,82,163.0829286846974,5.63949553,5.63949553,6.49583818,115.72710339,115.72710338,89.99999996,0.132069
mp-4809,7,Ga2HgS4,-4,82,165.96436137673857,5.64816293,5.64816292,6.55861437,115.50508336,115.50508338,89.99999994,0.138789
mp-3159,7,Al2CdSe4,-4,82,188.09020845804642,5.87923624,5.87923624,6.84787655,115.42152077,115.42152079,89.99999997,0.086795
mp-4730,7,Ga2HgSe4,-4,82,190.57990781352044,5.88059431,5.88059432,6.90379691,115.20736909,115.20736910,89.99999997,0.07749
mp-10955,7,Sn(HgSe2)2,-4,82,211.34865809656222,5.93651946,5.93651945,7.32020593,113.92174621,113.92174621,90.00000006,0.125737
mp-11175,7,LiZnPS4,-4,82,153.989929590241,5.82026045,5.82026045,6.13202601,118.33193657,118.33193648,89.99999996,0.035061
mp-4152,7,Ga2CoS4,-4,82,147.21889369612677,5.29198729,5.29198728,6.45268046,114.20867693,114.20867699,89.99999995,0.077081
mp-15776,7,Zn(GaSe2)2,-4,82,175.60355944363457,5.64180827,5.64329029,6.80818420,114.50557549,114.46840812,90.01686264,0.026644
mp-22607,7,Zn(InSe2)2,-4,82,198.6666129694597,5.82426657,5.82426657,7.15963019,114.00043216,114.00043217,90.00000000,0.076914
mp-7910,7,Al2HgTe4,-4,82,236.47820220844537,6.28536319,6.28536320,7.45547066,114.93102598,114.93102603,89.99999997,0.062831
mp-7907,7,Al2ZnSe4,-4,82,174.34518186940494,5.63194678,5.63194678,6.78762458,114.51105195,114.51105198,89.99999992,0.042905
mp-7909,7,Al2CdTe4,-4,82,236.5560193259164,6.29042164,6.29042164,7.45145919,114.96681547,114.96681544,89.99999994,0.050632
mp-20731,7,In2HgSe4,-4,82,213.49309537286103,6.00707866,6.00707865,7.28328446,114.35493563,114.35493569,89.99999996,0.096115
mp-7906,7,Al2HgS4,-4,82,163.74253389277126,5.63341960,5.63341960,6.51838449,115.60203473,115.60203468,90.00000004,0.172727
mp-7908,7,Al2ZnTe4,-4,82,222.2333754059402,6.09191787,6.09191788,7.37665785,114.38830649,114.38830655,89.99999993,0.030024
mp-765859,7,LiMnPO4,-4,82,89.87920224659611,4.37313116,5.62580944,4.37313116,67.12843385,90.00000000,112.87157732,0.213711
mp-772012,7,LiFePO4,-4,82,88.32261278806423,4.36951109,5.56293476,4.36951109,66.87525985,90.00000000,113.12474015,0.196928
mp-777130,7,Li2FeF4,-4,82,99.75543270664083,4.88630250,5.42164705,4.88630250,63.21595451,90.00000000,116.78404549,0.172302
mp-29403,6,GaCuI4,-4,82,242.6070279850874,6.50761837,6.50761837,7.34799479,116.28368744,116.28368736,89.99999994,0.020387
mp-540284,6,CuPO4,-4,82,77.83670538291466,5.47948361,4.66186781,5.47948361,54.00660588,90.00000000,54.00660588,0.199557
mp-23485,7,Ag2HgI4,-4,82,281.1622979536299,6.53609322,6.53609321,8.04211083,113.97680443,113.97680443,90.00000000,0.089257
mp-16337,7,Ga2HgTe4,-4,82,236.18381062892814,6.26607805,6.26607805,7.47100439,114.79417661,114.79417657,90.00000000,0.043711
mp-15777,7,Zn(GaTe2)2,-4,82,221.74431781225584,6.07298587,6.07298586,7.38847400,114.26622373,114.26622365,90.00000003,0.037002
mp-21374,7,Cd(InTe2)2,-4,82,261.1978140242756,6.42423697,6.42423697,7.79038211,114.35056129,114.35056134,90.00000004,0.06697
mp-19765,7,In2HgTe4,-4,82,261.5627575459447,6.41349683,6.41349683,7.81043223,114.24080130,114.24080125,89.99999998,0.068256
mp-20832,7,Zn(InTe2)2,-4,82,245.89683480040247,6.23826209,6.23826209,7.70607248,113.87626034,113.87626037,89.99999997,0.061121
mp-13949,7,Cd(GaTe2)2,-4,82,236.35979968695003,6.27269183,6.27269182,7.46717636,114.83570210,114.83570222,90.00000004,0.039887
mp-26477,7,LiCuPO4,-4,82,84.50865036321854,4.97506498,4.90236537,4.97506498,59.50821960,90.00000000,120.49178040,0.183785
mp-39249,10,BaLaMgRuO6,-4,82,130.76177181780753,5.66477047,5.66473228,5.71435344,119.71494891,119.72037033,89.99947220,0.484918
mp-677191,10,BaLaZnRuO6,-4,82,131.76632341843222,5.65760902,5.65765486,5.74005527,119.52619523,119.52217902,89.99868158,0.336214
mp-632402,11,LiCaUF8,-4,82,154.80186581556563,6.65871305,6.65871305,6.65871305,133.05571849,133.05571849,68.56665886,0.065008
mp-643431,11,AgH4WS4N,-4,82,196.72060459865824,6.48008994,6.48008994,6.48008994,102.04312578,102.04312578,125.64097143,0.028855
mp-565669,12,Cr2AgBiO8,-4,82,156.20436283643653,5.13969733,5.13969681,6.94071021,111.73148475,111.73148257,90.00000193,1.064162
mp-554151,12,SiO2,-4,82,193.64203056384676,5.01469137,6.70078564,6.70100922,81.95054113,68.02376247,68.02778417,0.068373
mp-16577,12,Li2CaHfF8,-4,82,142.1680936942366,5.17664399,5.17659953,6.44545748,113.67469003,113.67526830,90.00282090,0.036143
mp-10161,3,KZnSb,-6m2,187,98.43956748113732,4.56867736,4.56867736,5.44575484,90.00000000,90.00000000,119.99999997,0.21684
mp-10615,3,BaLiP,-6m2,187,77.05993008196977,4.43349591,4.43349590,4.52694643,90.00000000,90.00000000,119.99999998,0.387163
mp-10616,3,BaLiAs,-6m2,187,83.02655598491421,4.55516374,4.55516374,4.62038756,90.00000000,90.00000000,119.99999998,0.35139
mp-10614,3,SrLiP,-6m2,187,68.04033614746585,4.29548191,4.29548190,4.25806249,90.00000000,90.00000000,119.99999998,0.62025
mp-24012,3,HoHSe,-6m2,187,49.319385409667916,3.82304613,3.82304613,3.89643959,90.00000000,90.00000000,120.00000005,0.34869
mp-28797,3,YHSe,-6m2,187,50.45280099633733,3.85277560,3.85277560,3.92470682,90.00000000,90.00000000,119.99999996,0.32817
mp-604884,4,BN,-6m2,187,38.72896952119873,2.51297913,2.51297956,7.08153568,90.00000000,90.00000000,119.99999446,0.402833
mp-865427,7,KSrCO3F,-6m2,187,116.57962105959902,5.31396799,5.31455826,4.76639243,90.00000000,90.00000000,119.99631952,0.354053
mp-867261,7,RbSrCO3F,-6m2,187,121.71991659096342,5.37514974,5.37454023,4.86527227,90.00000000,90.00000000,120.00183257,0.093787
mp-2744,2,LiPd,-6m2,187,28.482820990755265,2.79987042,2.79987042,4.19543024,90.00000000,90.00000000,120.00000001,0.66598
mp-15687,3,KZnAs,-6m2,187,82.70521992674026,4.26115944,4.26115944,5.25952737,90.00000000,90.00000000,119.99999996,0.198063
mp-6867,7,KCaCO3F,-6m2,187,104.10098129353196,5.16420256,5.16420256,4.50731234,90.00000000,90.00000000,119.99999998,0.337677
mp-1572,8,GaSe,-6m2,187,224.8583330460042,3.81906690,3.81906690,17.80179614,90.00000000,90.00000000,120.00000003,0.19825
mp-578,9,GaAg2,-6m2,189,157.60890777698617,7.88249838,7.88249838,2.92902007,90.00000000,90.00000000,120.00000001,0.005913
mp-568536,9,BaI2,-6m2,189,391.8804679110261,9.27887402,9.27887380,5.25572270,90.00000000,90.00000000,120.00000077,0.667693
mp-8415,9,K2HfF6,-6m2,189,128.87972714973222,6.52044798,6.52044798,3.50025035,90.00000000,90.00000000,120.00000002,0.244087
mp-567680,9,BaCl2,-6m2,189,273.49033592253613,8.18273173,8.18273164,4.71644455,90.00000000,90.00000000,120.00000032,0.63488
mp-9732,9,BaNaP,-6m2,189,260.8908926266966,8.00619221,8.00619222,4.69976629,90.00000000,90.00000000,120.00000000,0.021027
mp-9775,9,NaSrAs,-6m2,189,248.96165182756428,7.89199559,7.89199559,4.61559992,90.00000000,90.00000000,120.00000002,0.149057
mp-22177,9,DyInAu,-6m2,189,209.58554063079657,7.73193552,7.73193552,4.04812802,90.00000000,90.00000000,120.00000000,0.034997
mp-31235,9,BaNaBi,-6m2,189,341.99661670975325,8.74155163,8.74155163,5.16790027,90.00000000,90.00000000,119.99999997,0.089587
mp-13978,9,Rb2ThF6,-6m2,189,162.7799819129981,6.96210180,6.96210181,3.87783767,90.00000000,90.00000000,119.99999997,0.215767
mp-4731,9,K2UF6,-6m2,189,144.07259287898202,6.66425757,6.66425756,3.74582249,90.00000000,90.00000000,119.99999998,0.287367
mp-14193,9,K2ThF6,-6m2,189,149.11129585277047,6.68069169,6.68069169,3.85777641,90.00000000,90.00000000,119.99999996,0.264137
mp-4720,9,Si2Ni6B,-6m2,189,92.43359270651797,6.10965374,6.10965374,2.85934136,90.00000000,90.00000000,119.99999999,1.517583
mp-697068,9,SiPd2,-6m2,189,130.41255458311377,6.54286483,6.54286482,3.51761748,90.00000000,90.00000000,119.99902560,1.7387
mp-760418,9,Ba2SrI6,-6m2,189,374.7537235174969,9.22981477,9.23016357,5.07947011,90.00000000,90.00000000,120.00124925,0.565087
mp-1554,12,KTe,-6m2,189,527.6803877850971,9.67853442,9.67853442,6.50460792,90.00000000,90.00000000,120.00000000,0.01992
mp-9064,12,RbTe,-6m2,189,590.1360564648086,10.11871692,10.11871691,6.65534581,90.00000000,90.00000000,120.00000002,0.022743
mp-409,12,NaS,-6m2,189,275.73078892183054,7.68499090,7.68499090,5.39098243,90.00000000,90.00000000,119.99999999,0.057167
mp-9063,12,RbSe,-6m2,189,489.33978172945564,9.42172572,9.42172572,6.36530148,90.00000000,90.00000000,120.00000000,0.045237
mp-9062,12,RbS,-6m2,189,431.41701533090895,8.96560502,8.96560502,6.19737012,90.00000000,90.00000000,119.99999999,0.070203
mp-9268,12,KSe,-6m2,189,431.11701339314163,9.03495168,9.03495168,6.09835724,90.00000000,90.00000000,119.99999999,0.041263
mp-1287,12,KS,-6m2,189,378.0116276132244,8.58608286,8.58608286,5.92085433,90.00000000,90.00000000,119.99999999,0.06653
mp-1345,12,CaP,-6m2,189,290.8871420985305,7.66208255,7.66208256,5.72137270,90.00000000,90.00000000,120.00000001,0.098313
mp-7931,12,SrP,-6m2,189,343.8226245084131,8.10038537,8.10038537,6.05051662,90.00000000,90.00000000,119.99999997,0.11415
mp-2340,12,Na2O2,-6m2,189,153.9056153631738,6.27944383,6.27944383,4.50693686,90.00000000,90.00000000,120.00000003,0.191913
mp-34932,3,CaHN,4mm,107,35.8032147161403,3.79468966,3.54509568,3.79468931,62.15296023,55.69408125,62.15295576,0.344731
mp-549706,4,MgO,6mm,186,48.5413017076028,3.34705513,3.34705523,5.00328264,90.00000000,90.00000000,119.99999890,2.25674
mp-2542,4,BeO,6mm,186,28.010130437105012,2.71031869,2.71031869,4.40295026,90.00000000,90.00000000,119.99999989,0.19632
mp-2653,4,BN,6mm,186,23.890772408849134,2.55516974,2.55516974,4.22532430,90.00000000,90.00000000,119.99999995,1.09478
mp-2133,4,ZnO,6mm,186,49.718723054254085,3.28910293,3.28910292,5.30682059,90.00000000,90.00000000,119.99999995,1.03681
mp-661,4,AlN,6mm,186,42.52728336284192,3.12858812,3.12858812,5.01695523,90.00000000,90.00000000,120.00000000,1.46115
mp-804,4,GaN,6mm,186,46.94282735959896,3.21629013,3.21629013,5.23996246,90.00000000,90.00000000,120.00000006,0.46451
mp-672,4,CdS,6mm,186,104.86286284361582,4.20653514,4.20653515,6.84292902,90.00000000,90.00000000,119.99999995,0.33356
mp-569346,4,CuI,6mm,186,110.06103843380156,4.25868249,4.25868208,7.00732896,90.00000000,90.00000000,120.00000312,0.0983
mp-8880,4,AlP,6mm,186,83.4378225866286,3.88554844,3.88554844,6.38157202,90.00000000,90.00000000,119.99999998,0.10089
mp-8881,4,AlAs,6mm,186,94.24394903891165,4.04552947,4.04552948,6.64924147,90.00000000,90.00000000,120.00000001,0.01928
mp-8882,4,GaP,6mm,186,83.39480594679503,3.88035670,3.88035670,6.39536110,90.00000000,90.00000000,119.99999998,0.27398
mp-7140,4,SiC,6mm,186,42.005508719514054,3.09200732,3.09200732,5.07334726,90.00000000,90.00000000,119.99999998,0.27594
mp-19128,4,CoO,6mm,186,48.739901835070995,3.26598116,5.27626629,3.26598074,90.00000000,119.99999578,90.00000000,0.82715
mp-24093,4,CuH,6mm,186,32.12407845453838,2.84860708,2.84860707,4.57124974,90.00000000,90.00000000,120.00000007,0.3223
mp-13108,5,SrHfO3,4mm,99,71.10469938266374,4.13941818,4.13941818,4.14972865,90.00000000,90.00000000,90.00000000,8.72945
mp-20459,5,TiPbO3,4mm,99,68.74892592355307,3.87235109,3.87235109,4.58475851,90.00000000,90.00000000,90.00000000,2.876113
mp-557739,5,CoBiO3,4mm,99,69.63543847595783,3.76334005,3.76334305,4.91680567,90.00000000,90.00000000,90.00000000,2.579045
mp-25119,5,VPbO3,4mm,99,71.70397337928817,3.84265806,3.84265806,4.85601189,90.00000000,90.00000000,90.00000000,2.0466
mp-5986,5,BaTiO3,4mm,99,67.51578077368939,4.00200623,4.00200623,4.21550660,90.00000000,90.00000000,90.00000000,3.48733
mp-4342,5,KNbO3,4mm,99,68.47076634644435,4.02866548,4.02866548,4.21874013,90.00000000,90.00000000,90.00000000,3.25783
mp-12992,5,BaTiO3,4mm,99,67.59513633091022,3.99996281,3.99996281,4.22477458,90.00000000,90.00000000,90.00000000,3.4477
mp-9575,6,LiBeSb,6mm,186,102.232250243831,4.17242539,4.17242540,6.78078741,90.00000000,90.00000000,120.00000001,0.69881
mp-7868,6,PtO2,6mm,186,81.8093432478028,3.16406891,3.16406891,9.43583650,90.00000000,90.00000000,119.99999988,0.01397
mp-32959,6,H2O,4mm,102,39.405431453452394,3.38122831,3.41382139,3.41382139,90.00000000,90.00000000,90.00000000,0.57821
mp-752463,6,NbNO,4mm,109,82.59305994337974,3.96926827,5.94657422,3.96912233,70.50285964,90.00000000,109.49618620,2.987247
mp-546679,7,Nd2AlNO3,4mm,107,87.84693365285399,3.73607902,3.73606705,6.82553505,105.88355354,105.88359783,89.99999692,1.98414
mp-10281,8,ZnS,6mm,186,162.05746016414844,3.85250299,3.85250299,12.60818078,90.00000000,90.00000000,120.00000005,0.07275
mp-11714,8,SiC,6mm,186,83.96318312307451,3.09400650,3.09400650,10.12781639,90.00000000,90.00000000,119.99999999,0.06233
mp-35152,8,Sr2H5Rh,4mm,107,112.36124634107637,5.44716174,5.44716181,5.35820145,60.53877997,60.53878358,58.92242972,0.35042
mp-766115,8,LiCrO2,6mm,186,74.62721740817527,2.95142649,2.95149052,9.89216865,89.99901039,90.00150569,119.99960198,0.765324
mp-774101,8,LiFeO2,6mm,186,77.29706102454952,2.97574375,2.97574103,10.07950964,90.00433984,89.99741552,119.99947835,0.732927
mp-776911,8,MgO,6mm,186,98.2130066434258,3.28595201,3.28591941,10.50313187,90.00165869,89.99916998,119.99967256,1.1669
mp-22894,4,AgI,6mm,186,146.3115505439582,4.71058489,4.71058489,7.61374473,90.00000000,90.00000000,120.00000006,0.19526
mp-567290,4,LaN,6mm,186,88.16255275857952,4.13286451,4.13286473,5.96006723,90.00000000,90.00000000,119.99999818,1.78562
mp-12779,4,CdTe,6mm,186,145.82266521240584,4.68430264,4.68430264,7.67369454,90.00000000,90.00000000,119.99999997,0.025266
mp-1039,4,MgTe,6mm,186,138.261815508557,4.61088090,4.61088090,7.50937539,90.00000000,90.00000000,120.00000002,0.22304
mp-545359,6,KNa2CuO2,4mm,107,105.476721559704,4.39036796,4.39037757,6.29157896,110.42596901,110.42055962,90.00000192,0.36441
mp-9919,6,LiZnSb,6mm,186,124.95633948198672,4.46481003,4.46481003,7.23805189,90.00000000,90.00000000,120.00000005,0.5411
mp-642725,8,CaHClO,6mm,186,130.1923891792752,3.89810558,3.89809082,9.89350008,90.00000000,90.00000000,120.00012522,0.87603
mp-644222,8,CdHClO,6mm,186,125.87762761030473,3.73489757,3.73497382,10.41954377,90.00000000,90.00000000,119.99932455,0.85945
mp-864928,4,BrCl,6mm,186,159.51890908485743,4.39476844,4.39476844,9.53694981,90.00000000,90.00000000,119.99998923,2.25966
mp-27934,6,CdBr2,6mm,186,204.88329293597488,4.07383828,4.07383828,14.25503686,90.00000000,90.00000000,120.00000001,0.00131
mp-3486,6,KSnSb,6mm,186,227.72503910299213,4.44680295,4.44680295,13.29794044,90.00000000,90.00000000,120.00000006,0.133188
mp-28248,6,CdI2,6mm,186,244.11498576794295,4.33489525,4.33489525,15.00052966,90.00000000,90.00000000,120.00000005,0.00612
mp-3481,6,KSnAs,6mm,186,196.15785107210638,4.18031722,4.18031722,12.96153942,90.00000000,90.00000000,119.99999999,0.213373
mp-28944,6,BiTeCl,6mm,186,226.76277667745455,4.30299266,4.30299266,14.14164476,90.00000000,90.00000000,119.99999997,0.18281
mp-29529,6,NaSnP,6mm,186,157.0336620530182,3.92585819,3.92585818,11.76502655,90.00000000,90.00000000,119.99999997,0.29939
mp-7204,8,CaZnSO,6mm,186,142.4077839353213,3.77892088,3.77892088,11.51509429,90.00000000,90.00000000,120.00000001,0.510689
mp-580941,8,AgI,6mm,186,294.9544720499248,4.84863433,4.84863414,14.48723525,90.00000000,90.00000000,120.00000137,0.100127
mp-24066,8,SrHClO,6mm,186,152.70963285126987,4.18258567,4.18258567,10.07966530,90.00000000,90.00000000,120.00000008,0.46589
mp-570935,4,LiI,6mm,186,134.03828432280324,4.56607297,4.56607326,7.42356468,90.00000000,90.00000000,119.99999786,0.17284
